ACCOUNT TYPE,USERNAME,CUSTOMER NAME,ACCOUNT NUMBER,PASSWORD,BANK BRANCH NAME,SACTIONED LIMIT,AVAILABLE BALANCE,UNCLEARED BALANCE,LIEN AMOUNT,IFSC CODE
,,,,,,,,,,
Savings,SPECTAR,Harvey Spectar,1543534534,1231,New Delhi,10000000,8500000,0,1000,SBIN0001537
Current,PAULSEN,Donna Paulsen,1334456435,4123,East Delhi,5000000,220000,0,1000,ICIC0006561
Demat ,ZANE,Rachel Zane,1446636456,3252,Rohini,250000,150000,1000,2000,UTIB0000373
Personal,LITT,Louis Litt,2434535663,1242,Dwarka,10000000,6000000,500000,0,HDFC0001015
Savings,PEARSON,Jessica Pearson,2163456435,6352,Daryaganj,20000000,12000000,0,1500,PUNB0006700
Savings,ROSS,Michael Ross,1356746364,5365,North West Delhi,250000,100000,10000,1000,SBIN0000300
Personal,BENNETT,Katrina Bennett,1446353464,2335,Shahdara,200000,50000,12000,1300,BARB0000230
Demat ,WHEELER,Samantha Wheeler,2364747473,8352,Saket,200000,60000,2000,1000,KKBK0000191
Fixed deposit,CAHILL,Sean Cahill,2534622522,2345,South East Delhi,1000000,1300000,10000,5000,YESB0000522
Personal,HARDMAN,Daniel Hardman,1443636325,8461,Lajpat Nagar,20000000,1400000,54000,2000,CITI0000002 
